765	Manga	Mn(SO4)_(H20)	2969ug	05/02/2021 17:16:00	05/02/2021 17:21:00
767	Chloroacetic	C2H3ClO2	19200ug	05/02/2021 15:35:00	05/02/2021 15:40:00
766	TEM		0ug	05/02/2021 17:22:00	05/02/2021 17:25:00
763	Mercury	HgCl2	2ug	12/02/2021 12:27:00	12/02/2021 12:32:00
764	Chromium	CrO3	42ug	12/02/2021 12:39:00	12/02/2021 12:43:00
765	Manga	Mn(SO4)_(H20)	2969ug	12/02/2021 12:44:00	12/02/2021 12:48:00
767	Mercury	HgCl2	4ug	12/02/2021 12:33:00	12/02/2021 12:37:00
766	TEM		0ug	12/02/2021 12:51:00	12/02/2021 12:53:00
763	Nitrate	Na(NO3)	50000ug	19/02/2021 15:02:00	19/02/2021 15:05:00
764	Chloride	NaCl	500000ug	19/02/2021 14:45:00	19/02/2021 14:50:00
765	Nitrate	Na(NO3)	100000ug	19/02/2021 14:34:00	19/02/2021 14:38:00
767	Chloride	NaCl	250000ug	19/02/2021 14:52:00	19/02/2021 14:56:00
766	TEM		0ug	19/02/2021 14:58:00	19/02/2021 15:01:00
